hardboil,softboil,shell,lid,stove,taste_hb,remove_hb,taste_sb,remove_sb,grad_st
9.076558286,5.758710441,brown,covered,gas,2,3,4,5,4
9.125453875,6.620372422,white,covered,gas,3,4,3,3,4
10.57305143,6.520549328,white,covered,electric,1,4,4,3,7
10.35443632,6.882085804,white,uncovered,gas,2,5,3,2,6
8.180673637,5.889012141,white,covered,electric,2,5,2,1,10
13.67140825,5.854696502,white,covered,electric,4,3,1,4,7
11.91909851,4.526066826,brown,uncovered,electric,2,2,3,3,3
10.84311082,6.056269536,brown,uncovered,gas,5,2,1,3,9
7.480217234,7.24316187,brown,uncovered,gas,1,1,4,4,10
8.864128681,5.834706052,brown,covered,gas,5,5,5,1,10
13.41329658,6.14148537,white,uncovered,electric,5,1,2,5,1
10.3803177,6.829032473,white,uncovered,electric,1,4,1,2,7
8.190912284,6.176846748,white,covered,gas,1,5,5,3,8
12.87472479,6.008687739,white,uncovered,gas,4,3,5,5,2
8.887346908,5.772112229,white,uncovered,gas,1,4,4,2,9
11.68292323,6.087043593,white,uncovered,gas,5,4,3,4,4
9.965267893,6.381201712,white,covered,electric,3,3,1,4,4
8.968626097,7.389473504,brown,covered,gas,4,4,5,4,2
8.053257373,6.449871477,brown,covered,electric,1,5,2,2,4
10.14613079,5.803691413,white,covered,gas,1,4,3,3,3
8.443208717,5.61920871,brown,covered,electric,5,3,5,3,2
6.514986823,7.288752374,brown,covered,gas,4,5,4,2,5
8.25737214,5.841284857,white,covered,electric,3,2,2,4,1
9.295795325,8.202068642,brown,covered,electric,2,3,1,2,9
6.873432737,5.54902201,brown,uncovered,gas,3,5,3,3,8
6.166143623,5.418464693,white,covered,gas,2,3,1,1,6
10.28211338,6.994993608,brown,uncovered,gas,2,1,3,4,10
8.934059822,3.538055442,brown,covered,gas,4,2,4,1,7
10.01847611,4.881926802,brown,uncovered,electric,5,4,1,4,7
10.71702838,7.169135135,white,uncovered,gas,2,5,3,4,9
9.18646156,7.141324869,brown,covered,electric,3,2,5,5,9
12.97514831,6.650919151,white,uncovered,electric,4,5,2,1,6
8.086075399,6.880050045,white,uncovered,electric,1,1,1,4,8
11.73775736,6.258111699,brown,uncovered,electric,5,4,1,2,5
8.157406773,7.358150167,brown,covered,electric,5,4,1,3,10
11.16870828,7.40329512,brown,uncovered,electric,1,5,5,1,10
10.43025811,5.969125807,brown,uncovered,electric,1,4,2,3,4
8.697179924,6.65218901,brown,uncovered,gas,2,5,4,1,7
10.04238647,7.126021292,brown,uncovered,electric,2,4,2,1,2
13.3526979,6.263752326,brown,covered,electric,3,4,5,4,5
11.72030796,6.70834763,white,uncovered,electric,1,2,4,1,3
10.63941221,5.579670386,white,uncovered,gas,3,5,5,3,9
12.90754674,3.31140718,white,covered,electric,1,5,5,5,1
11.567364,6.567894704,brown,uncovered,gas,1,2,1,1,8
12.01282141,7.220440025,brown,uncovered,electric,3,3,5,1,3
15.79405925,6.19955889,white,uncovered,gas,4,4,2,4,8
10.93225539,4.566552279,brown,covered,gas,4,3,4,1,8
7.428761126,5.487605876,brown,covered,gas,4,2,2,2,2
8.019597921,6.878592181,white,uncovered,electric,1,3,4,5,2
6.772471788,5.80219381,white,covered,electric,2,1,2,2,8
9.168297743,5.820101555,brown,uncovered,electric,2,5,1,3,5
3.472727399,7.152488828,brown,covered,gas,3,1,4,2,10
9.186714308,6.043634356,white,uncovered,electric,3,5,2,4,3
11.70285768,7.272977306,brown,uncovered,gas,4,5,1,3,9
10.23257755,7.299120578,brown,covered,gas,1,2,3,1,4
8.686043515,7.016400634,brown,uncovered,gas,2,2,5,2,2
10.73093558,7.332414703,brown,uncovered,gas,3,3,2,4,4
9.539324697,7.887937922,white,uncovered,gas,1,1,2,2,7
9.171391212,6.350409419,brown,uncovered,gas,5,4,3,3,4
9.307019235,5.492551283,brown,uncovered,gas,1,2,2,3,8
9.732203401,5.160366565,white,covered,gas,1,2,4,1,10
13.34887233,5.78843851,white,uncovered,gas,3,5,4,3,9
14.60480547,8.293017939,white,uncovered,gas,1,1,1,4,1
8.39505411,5.716921539,brown,uncovered,gas,4,2,4,2,1
9.181687802,6.925724006,white,covered,electric,2,2,2,3,3
9.2013851,5.145005426,brown,covered,electric,2,2,4,4,8
8.37538268,6.796228231,white,uncovered,electric,2,4,3,5,9
11.75899887,6.032078913,brown,covered,electric,4,2,3,4,4
9.375814247,5.02626444,white,covered,electric,1,4,1,1,6
13.908581999999999,6.784473331,white,uncovered,gas,5,4,1,4,10
8.830385836,6.986794433,white,uncovered,electric,1,5,5,1,5
14.60612234,5.029002018,white,covered,gas,1,3,5,3,7
11.20584665,5.823982664,white,covered,gas,4,4,1,2,6
9.567299476,6.067941597,brown,covered,electric,4,1,5,2,4
10.03000388,5.964144708,white,covered,electric,5,2,3,2,10
10.63107305,5.0047974,brown,covered,gas,2,3,5,4,8
10.43518506,4.67511253,brown,covered,gas,4,3,2,2,9
13.32338016,6.028747082,brown,uncovered,electric,4,3,3,4,6
7.192767426,6.505001834,white,covered,electric,4,1,1,3,5
6.705068635,6.517346841,white,covered,gas,2,3,1,1,9
9.165413752,7.718395038,white,covered,electric,3,2,4,3,6
12.79516508,7.311920812,white,covered,gas,2,1,3,1,8
8.972783822,7.137124782,brown,covered,electric,5,5,5,2,10
12.47361541,5.716998814,white,covered,gas,3,3,2,1,3
9.381236011,6.526485633,brown,covered,gas,5,4,3,1,8
10.08328177,5.104804166,white,uncovered,gas,5,5,3,1,2
12.25784003,5.961766692,brown,covered,electric,5,2,2,4,1
10.62973967,5.687022665,white,covered,electric,5,4,4,1,5
7.39884294,5.750549803,brown,covered,electric,3,2,5,2,10
5.471396742,6.651694696,white,covered,gas,4,4,1,3,3
13.18001833,5.005925706,brown,covered,electric,1,4,4,4,7
7.333176657,4.637767179,white,covered,gas,1,2,4,2,6
10.93244898,5.341172171,brown,covered,electric,2,1,4,5,8
9.916463201,5.691488111,brown,covered,gas,1,4,4,1,3
8.906765598,4.759175179,white,uncovered,electric,2,4,1,1,7
11.32072249,5.223305216,brown,covered,gas,2,2,3,2,2
6.406594104,6.892546509,brown,covered,electric,3,2,5,1,6
11.62297205,4.628465025,brown,uncovered,electric,5,5,4,1,5
7.212575979,6.391478611,white,covered,electric,5,4,1,4,8
6.713736247,7.571137348,brown,uncovered,gas,1,1,1,2,6
9.522377941,4.600279222,brown,covered,gas,5,1,4,5,1
10.85471958,7.738177473,white,uncovered,electric,4,1,2,3,3
7.169261193,5.666540036,white,covered,electric,2,4,5,4,2
8.873912751,5.354142379,white,uncovered,gas,2,1,4,3,1
9.018981311,5.969643691,brown,covered,electric,4,4,4,2,2
6.834600771,6.142208835,brown,covered,gas,1,1,2,4,4
6.808992217,8.187328504,white,uncovered,gas,4,4,3,3,8
10.05856679,4.038848981,white,covered,gas,4,5,1,4,4
10.08020866,7.032197301,white,uncovered,gas,4,2,5,2,1
12.64478105,5.575722953,white,uncovered,electric,2,4,2,2,6
8.255537247,7.273635124,white,uncovered,electric,5,3,4,4,10
10.96755935,6.4278206,brown,uncovered,electric,4,1,1,2,9
9.024524778,5.505251458,brown,uncovered,electric,4,2,5,5,8
9.46041771,6.729981982,white,covered,gas,2,3,3,5,2
9.841999145,8.746681639,brown,uncovered,gas,4,5,1,5,5
11.42626268,5.571005397,white,uncovered,gas,4,5,5,1,3
13.49290616,6.827153576,white,covered,electric,1,4,1,4,10
9.411562258,5.866173529,white,uncovered,electric,1,5,2,4,4
15.14266515,4.280281878,brown,uncovered,electric,4,3,1,1,2
10.00207955,6.127541111,white,uncovered,electric,2,2,4,2,10
7.706207154,6.686583644,brown,covered,gas,2,1,4,2,1
8.27288513,8.056704811,brown,uncovered,gas,5,2,5,5,7
10.64131996,8.109114295,white,uncovered,electric,3,5,1,3,6
9.523094934,6.650304267,brown,uncovered,gas,4,5,5,3,1
10.35739185,8.327151437,white,uncovered,gas,4,1,2,1,8
11.38929819,5.866224179,brown,uncovered,electric,1,4,3,2,5
9.90398788,6.878920729,brown,uncovered,electric,4,4,1,2,5
10.34290958,6.545795391,brown,covered,gas,1,5,2,1,3
8.493950261,4.229847389,brown,covered,electric,5,2,1,4,2
9.049424564,6.34054917,brown,covered,gas,1,5,1,2,5
12.21690598,6.271719888,white,uncovered,gas,1,5,5,1,10
8.43728158,5.731404691,white,covered,gas,2,4,3,1,3
10.48822512,6.292174736,white,covered,electric,5,5,2,2,3
8.283650637,7.045978654,brown,uncovered,gas,5,3,1,4,1
11.78468363,6.9433413,white,uncovered,gas,5,1,2,4,5
12.31735395,8.299855165,brown,uncovered,gas,4,4,4,4,7
7.062668522,5.634627803,white,covered,gas,3,4,3,1,3
10.06229967,7.822088328,white,uncovered,gas,3,5,1,3,3
9.412229413,8.034002957,brown,uncovered,electric,4,4,2,5,5
6.751807309,5.013754134,brown,covered,gas,1,3,1,1,5
11.16371291,6.435031083,white,uncovered,electric,5,4,1,2,4
16.01339465,7.934864825,white,uncovered,electric,1,3,4,5,2
4.808101474,6.985936046,white,covered,electric,1,1,5,2,6
10.33385939,4.805161147,brown,covered,electric,3,2,3,2,1
10.10074963,5.98481154,brown,uncovered,gas,4,4,3,3,10
11.13063135,7.296094654,white,uncovered,electric,1,5,2,4,5
11.9128687,6.93831549,white,uncovered,gas,4,5,1,3,4
9.074120875,5.749986012,brown,covered,gas,2,5,1,2,3
9.202486126,4.54859525,brown,covered,electric,2,1,1,4,4
13.47656117,5.201333308,white,covered,gas,3,3,4,2,9
12.2518595,5.41346954,brown,uncovered,electric,5,3,3,4,3
7.17186584,6.702581062,brown,uncovered,gas,1,4,2,3,8
12.24393032,6.38226304,white,uncovered,gas,2,5,5,5,3
9.768907308,8.30710339,white,covered,gas,3,1,2,1,3
6.834360087,6.194197072,white,covered,gas,2,5,4,4,4
10.17093042,5.54622486,brown,covered,gas,3,2,4,4,8
7.728335657,7.796833427,brown,covered,gas,2,1,3,1,7
8.585861979,5.644013215,white,uncovered,gas,4,2,2,3,5
12.32823047,5.803845624,brown,covered,gas,2,3,3,4,10
10.66638298,6.608022454,brown,covered,gas,1,1,1,2,2
9.7329842,6.062591642,brown,covered,electric,5,4,1,4,3
10.17728408,6.147671423,white,covered,gas,2,3,3,1,4
15.35561032,6.726260525,white,uncovered,electric,1,4,3,3,10
8.000120352,6.471148533,brown,uncovered,gas,4,5,2,5,3
11.90937759,4.614144678,brown,covered,electric,4,1,4,5,4
6.581057609,5.430350509,white,covered,gas,2,2,4,1,1
8.839199197,5.038273947,white,covered,electric,5,4,4,3,9
8.593373434,6.238887112,brown,covered,gas,5,4,2,4,2
11.82277375,5.44738095,brown,uncovered,electric,4,5,2,5,9
9.016717218,5.773429498,brown,uncovered,electric,4,2,2,2,5
8.008791392,6.757700933,brown,covered,gas,5,1,1,5,10
8.075949557,5.454714621,brown,covered,gas,5,3,4,2,7
13.34997695,7.248522984,white,uncovered,electric,5,2,4,4,1
9.2162300170000009,5.202974915,brown,covered,gas,3,1,1,5,2
8.80742541,6.436791394,brown,uncovered,electric,5,5,2,2,8
9.191635186,5.278053798,white,covered,gas,4,3,1,2,7
13.69262986,8.114532264,brown,uncovered,electric,5,1,1,4,10
11.75809578,6.421623196,white,uncovered,gas,4,1,5,1,6
8.42732597,4.19219875,white,covered,gas,1,3,2,5,6
11.07367437,5.511056737,brown,uncovered,electric,5,4,5,2,1
8.071914599,3.70149848,brown,covered,electric,1,5,3,5,9
8.304622575,4.566569266,brown,covered,gas,5,4,3,4,5
8.536045176,6.130481635,brown,covered,gas,4,1,3,4,10
12.38290186,6.665549204,white,covered,gas,1,3,2,2,4
9.139318215,4.485878862,brown,covered,electric,2,4,4,1,2
11.35260966,5.209815284,white,covered,gas,4,3,2,3,8
10.06760717,4.685729556,white,covered,electric,1,1,3,2,9
11.51447612,6.949056702,brown,covered,gas,1,2,5,3,7
14.30138037,5.196919403,white,uncovered,electric,3,2,4,5,7
7.742332267,6.043574143,white,covered,gas,3,1,3,1,1
14.27657412,7.042892337,brown,covered,electric,3,3,5,3,10
8.510794076,7.11691594,brown,uncovered,gas,2,2,4,2,1
7.904134059,6.74082933,brown,covered,gas,1,1,3,1,5
10.26374621,8.068363029,white,covered,electric,2,3,2,2,10
5.082956955,7.90412086,white,uncovered,gas,1,1,4,3,9
9.820569,7.214952412,white,uncovered,electric,1,2,3,5,2
8.503791355,6.719396981,white,covered,electric,1,5,2,4,3
7.974571322,7.358618918,brown,covered,electric,4,1,1,2,8
8.681915898,6.930697474,white,covered,electric,3,1,1,3,1
11.84174477,5.715705466,white,covered,electric,4,3,4,2,2
11.16752119,4.287387542,white,uncovered,gas,5,1,2,5,2
11.63660212,4.511898725,brown,uncovered,electric,2,5,5,4,7
9.275125491,6.017653779,white,uncovered,electric,4,5,5,5,2
11.01357399,7.489018834,white,covered,gas,4,5,2,4,1
12.83315736,6.766644792,brown,uncovered,electric,4,3,1,4,9
9.950405255,4.836509718,brown,covered,gas,3,5,4,5,2
8.787464317,7.224355943,brown,covered,electric,5,5,1,4,8
9.205208134,5.467333114,brown,covered,gas,5,5,4,2,2
10.48697528,6.08901928,white,covered,electric,4,2,5,2,7
7.934664596,3.930551158,white,covered,gas,1,2,4,1,10
9.861062252,6.843113324,white,covered,gas,2,3,4,3,10
11.44242423,7.419589294,brown,uncovered,gas,2,1,2,1,6
12.17331198,6.044291464,brown,uncovered,electric,2,1,1,3,6
11.50855128,5.166477628,brown,uncovered,electric,2,3,5,5,9
9.10356236,5.489103139,brown,uncovered,electric,1,1,4,5,7
8.959794802,4.003513598,white,covered,gas,5,2,2,5,1
10.97514703,8.828922202,brown,uncovered,electric,5,2,1,5,2
10.59322398,4.49160063,brown,covered,electric,4,3,1,1,1
7.388447551,6.225672412,white,covered,electric,3,1,5,3,10
2.757007231,5.111126443,white,covered,electric,4,3,2,5,3
12.62836778,7.001941305,brown,covered,electric,4,4,1,5,7
6.674580934,5.780094571,white,covered,electric,3,5,2,2,4
12.38245854,7.600444607,brown,covered,electric,4,2,1,5,10
8.981319893,6.976323839,white,uncovered,gas,1,5,1,5,10
11.91994085,6.67551695,brown,uncovered,electric,3,3,3,1,5
10.39217992,5.746712519,white,covered,gas,2,2,2,1,8
10.85919955,6.775076803,brown,uncovered,electric,4,1,2,3,4
8.457606387,6.937300078,white,covered,gas,4,1,5,1,1
10.76361832,6.936017134,white,uncovered,electric,1,5,4,5,1
9.654047346,6.477682942,white,uncovered,gas,2,4,5,4,2
10.61848892,6.870601252,white,uncovered,electric,5,2,1,5,1
10.93678787,4.479906694,brown,uncovered,gas,2,3,4,2,9
10.81156876,7.546542781,brown,uncovered,gas,2,5,1,3,3
6.645885173,6.65525025,brown,covered,gas,3,1,2,3,4
11.41757953,5.23144951,white,covered,gas,5,3,2,4,3
10.1284452,6.250197804,white,covered,gas,3,5,2,1,2
14.72209632,7.780144595,brown,uncovered,electric,1,2,3,1,10
10.18502702,6.96051406,brown,uncovered,gas,4,5,3,2,9
12.10197588,6.585326839,brown,uncovered,electric,3,4,4,1,3
12.01967667,5.961714348,white,uncovered,gas,1,2,4,3,9
8.664461304,4.592540656,brown,uncovered,electric,1,4,1,2,7
9.423231217,5.814685674,brown,uncovered,electric,3,5,4,2,1
9.572966895,6.574574576,brown,uncovered,electric,3,1,4,1,5
10.33618099,5.003509563,brown,covered,gas,1,5,1,4,4
10.77381914,5.68326861,brown,covered,gas,1,2,2,1,2
11.44697378,7.772961628,white,uncovered,gas,5,5,5,2,8
9.234266028,6.230778293,white,covered,gas,1,2,5,5,3
8.883365426,5.49822728,white,covered,gas,3,2,1,2,10
7.850080543,5.986639339,white,covered,electric,5,2,5,1,3
13.35378372,6.557258197,brown,covered,electric,2,1,2,4,4
12.93886661,6.073624851,white,uncovered,electric,2,3,1,2,8
11.303785,5.221040126,white,covered,gas,1,3,4,1,6
12.12216627,5.762547747,white,uncovered,gas,3,4,4,3,3
7.249648213,6.133657038,white,covered,electric,2,4,5,4,3
14.797345,7.525457526,brown,covered,electric,1,5,1,3,1
10.5228739,6.509697706,white,uncovered,gas,4,5,1,2,2
11.86458003,7.520586295,brown,uncovered,gas,2,5,3,1,1
14.70283919,4.134032475,white,covered,gas,2,5,2,5,6
13.56793787,6.071435609,white,uncovered,electric,2,4,1,5,3
7.593078349,4.910672827,white,covered,gas,5,1,4,4,5
7.531339747,5.381145817,brown,covered,electric,5,4,4,2,1
11.10432387,6.894414865,white,uncovered,gas,4,1,5,4,4
11.08169736,5.931175132,white,uncovered,electric,2,4,3,5,5
9.253533579,4.999288621,brown,covered,gas,4,4,5,3,6
12.52480633,6.06333766,brown,covered,electric,4,4,3,5,1
7.536824241,5.447030843,white,covered,gas,3,1,5,3,2
10.3219934,5.501775994,brown,uncovered,gas,1,5,3,3,8
10.5930221,5.788311856,white,uncovered,gas,5,1,3,5,3
10.53850562,6.126485551,white,uncovered,electric,2,3,3,1,8
10.80590112,5.575793767,white,covered,gas,4,1,4,1,5
12.37803287,5.835594199,brown,uncovered,gas,2,5,4,3,5
9.592889621,5.162473273,white,uncovered,gas,1,2,3,1,5
9.250886173,3.954884729,brown,covered,electric,3,1,5,3,7
12.42565816,7.235305929,white,uncovered,gas,4,1,2,1,1
8.970707622,6.96913884,white,uncovered,gas,3,1,2,2,8
6.886308722,5.91046934,white,covered,gas,3,1,1,3,9
10.59610564,3.700906939,white,uncovered,gas,5,4,1,4,6
7.838358064,5.471567612,brown,covered,electric,1,3,4,1,9
8.675743019,5.941484438,white,covered,electric,1,5,2,3,4
10.48052203,5.650790279,white,covered,gas,1,3,3,2,8
9.626907846,6.290572529,brown,uncovered,gas,1,3,2,4,8
9.861413669,6.374955983,white,uncovered,gas,5,1,4,2,1
15.27694241,7.318255646,brown,uncovered,electric,5,5,3,2,5
9.759582541,8.151593037,white,uncovered,gas,5,3,1,4,2
9.182425658,7.325671678,white,uncovered,electric,3,5,1,2,9
8.774522605,8.011246961,brown,covered,gas,4,1,4,1,4
6.847017044,6.900281207,white,uncovered,electric,4,2,2,2,4
12.71476464,7.96634086,white,uncovered,electric,3,4,4,5,6
9.733329559,5.871995496,white,uncovered,electric,1,4,5,3,9
7.759201683,5.729473562,brown,uncovered,gas,1,4,4,4,10
10.70991466,4.808778909,brown,uncovered,gas,5,5,4,1,8
11.05899571,6.542940818,brown,uncovered,gas,5,1,1,5,1
8.904001607,6.606694936,white,uncovered,gas,3,1,2,5,5
12.75492895,6.93650729,brown,uncovered,gas,2,4,3,3,8
12.69961625,6.6645601,white,uncovered,gas,5,3,2,4,6
13.59190031,4.172168332,white,covered,gas,2,5,5,3,4
10.4433824,8.038574984,brown,covered,gas,4,4,5,3,6
13.54435849,5.284406511,brown,uncovered,electric,4,2,5,1,1
10.27835048,8.187590405,white,uncovered,gas,3,4,2,3,1
9.636518549,4.855209572,white,covered,gas,4,3,5,2,5
10.39977898,7.352072957,brown,uncovered,electric,1,3,5,5,6
11.41471232,5.42527475,brown,uncovered,gas,3,1,1,4,7
13.00035281,6.458685527,white,covered,electric,5,3,5,2,6
6.696156812,6.056328445,brown,covered,gas,5,1,4,1,10
6.553276673,6.085873017,white,covered,electric,2,2,1,4,6
9.528710451,5.615722338,white,covered,gas,1,1,2,5,3
10.90885294,7.571730489,white,uncovered,gas,2,2,4,1,7
8.808431927,6.254303506,white,covered,gas,5,2,2,5,10
8.986716134,7.090102771,white,uncovered,electric,2,5,5,5,6
11.92353496,7.033486039,brown,covered,gas,4,1,4,1,4
9.822536297,5.596473022,brown,covered,electric,4,4,1,5,10
9.415307784,5.653021889,brown,covered,gas,5,5,1,1,8
9.143926945,4.692640211,brown,covered,electric,3,3,3,5,10
12.08637952,6.461243731,white,uncovered,gas,5,2,3,5,4
11.74778175,5.492304537,white,uncovered,gas,1,1,3,4,4
9.072876508,6.921871386,white,covered,gas,4,3,1,4,2
12.6191975,6.051210504,white,covered,electric,3,3,1,3,4
11.69970027,4.997370438,brown,uncovered,electric,1,3,2,4,5
14.30956779,7.04189084,brown,uncovered,electric,3,4,5,3,8
9.256897087,5.293588439,brown,covered,electric,3,2,5,3,10
8.199396698,7.428447383,white,covered,electric,2,3,4,5,1
11.99246673,6.514822449,white,uncovered,electric,4,4,5,5,2
6.300814494,6.168794809,brown,uncovered,electric,2,4,3,5,4
7.317414583,7.507765347,white,covered,gas,5,1,3,3,7
12.03925857,6.32398371,brown,covered,electric,3,4,1,5,1
8.963659169,6.341812226,white,covered,gas,1,1,1,1,10
10.81495927,5.077999255,white,uncovered,gas,2,5,3,3,1
8.455366725,7.270371366,white,uncovered,gas,5,5,4,1,7
5.156262512,4.719739454,brown,covered,gas,2,4,1,5,8
9.900255759,6.055138317,white,covered,gas,4,5,1,1,2
11.20876386,6.990569266,brown,covered,electric,3,5,4,3,9
9.161470341,5.301667329,brown,uncovered,gas,3,5,1,4,10
11.89693878,4.864696403,brown,uncovered,electric,2,4,1,1,9
11.28127042,7.402898106,brown,covered,electric,2,3,3,5,2
9.854705364,6.71128118,brown,covered,electric,5,4,5,2,2
8.019943538,6.552733382,white,covered,electric,1,1,3,4,10
12.97040523,7.163491703,brown,uncovered,electric,5,3,4,4,3
11.33475702,4.155266596,white,covered,electric,5,2,1,1,2
14.35024854,7.583727933,white,covered,gas,4,5,2,2,10
12.15525411,5.089325813,white,covered,gas,4,1,5,5,10
11.28905272,5.165650142,white,covered,electric,3,1,5,2,10
11.56682352,6.467897084,white,uncovered,gas,2,3,5,4,1
10.15952017,5.713510688,white,covered,electric,3,1,2,4,10
11.51473907,6.260201624,brown,uncovered,electric,2,2,2,1,7
10.58914887,6.214290034,brown,covered,electric,5,5,1,4,6
8.021137484,6.996794646,brown,covered,gas,1,1,5,3,2
9.681126124,5.907383815,brown,covered,gas,4,3,5,2,8
8.518647404,6.406826351,white,covered,gas,5,5,3,5,5
8.331426608,5.902811336,white,covered,gas,2,5,2,1,3
14.61815276,4.290968522,white,uncovered,gas,4,1,4,2,8
6.882383507,7.132137037,brown,covered,electric,5,3,4,5,8
10.73101528,6.076543575,white,uncovered,electric,3,1,5,5,1
9.715571237,8.613540357,white,covered,electric,1,5,1,4,10
9.447673747,5.107155847,white,covered,electric,3,1,3,2,5
11.68616062,5.075271091,brown,covered,gas,2,5,4,3,6
9.95432905,6.670658993,white,uncovered,electric,2,2,3,5,5
13.92759565,6.107654877,white,uncovered,electric,4,2,3,3,5
11.80832121,5.272929093,brown,uncovered,gas,4,1,3,2,4
12.45062302,8.504008129,brown,uncovered,electric,4,1,3,2,6
10.20775956,4.463929322,brown,covered,gas,4,4,1,5,3
9.408949607,7.114322392,white,uncovered,electric,1,5,2,5,8
5.66285322,4.344407475,white,covered,gas,3,2,1,2,10
11.48470005,6.222554609,brown,uncovered,electric,5,1,5,4,4
8.832756812,6.154816235,white,uncovered,gas,4,2,4,4,5
8.628417017,5.671964755,white,covered,gas,3,4,3,2,8
9.965836034,6.309247072,white,covered,gas,1,3,1,5,5
10.46750882,5.937667546,brown,covered,electric,1,2,4,4,2
11.72431387,8.007362222,brown,uncovered,electric,3,1,2,2,9
12.04588542,8.032694297,white,covered,electric,2,4,4,5,4
10.05104619,6.841375406,white,covered,gas,1,3,1,3,1
11.61106864,6.123880844,brown,uncovered,electric,1,1,5,2,10
10.09027227,7.570726643,white,uncovered,gas,1,2,4,1,10
10.06936077,4.473880695,white,covered,electric,1,2,4,5,2
11.92850423,5.347147075,white,covered,electric,5,1,4,1,5
11.63013698,7.361946062,brown,covered,electric,5,2,5,5,3
10.71581659,5.878541654,brown,covered,gas,3,2,2,3,8
7.91058451,5.880895774,white,covered,electric,3,1,2,1,3
8.905276335,5.611717082,white,covered,gas,2,2,3,3,9
14.13639617,5.615417804,brown,covered,electric,3,3,1,1,6
8.348732153,6.854839249,white,covered,electric,2,4,2,5,3
11.83422349,5.200463042,brown,covered,electric,3,4,5,5,3
8.496055346,6.752839475,white,uncovered,gas,4,2,2,1,2
11.31102566,5.424612283,white,uncovered,gas,2,1,2,4,10
12.70324347,5.960906117,white,uncovered,electric,2,5,2,3,7
11.01957815,6.449665339,white,uncovered,gas,3,5,1,1,6
9.230484547,4.121211176,white,covered,electric,1,3,1,3,2
